City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
315,Dandong,CN,40.1292,124.3947,43.66,72,0,5.21,clear sky
316,Twin Falls,US,42.3505,-114.6445,30.54,59,0,4.61,clear sky
317,Bilibino,RU,68.0546,166.4372,-0.56,95,100,2.91,overcast clouds
318,Najran,SA,17.4924,44.1277,86.65,7,3,13.33,clear sky
319,Massakory,TD,12.996,15.7293,105.82,5,100,7.92,overcast clouds
320,Nishihara,JP,26.1842,127.7558,65.48,80,100,14.97,overcast clouds
321,Sitka,US,57.0531,-135.33,39.09,81,100,13.8,moderate rain
322,Aykhal,RU,66.0,111.5,6.44,98,96,7.87,overcast clouds
323,Hinton,CA,53.4001,-117.5857,26.01,88,100,4.97,overcast clouds
324,Cape Coast,GH,5.1053,-1.2466,87.67,68,100,13.04,overcast clouds
325,Mukilteo,US,47.9445,-122.3046,47.21,82,100,10.36,overcast clouds
326,Villazon,BO,-22.0866,-65.5942,53.02,20,4,5.61,clear sky
327,Nyurba,RU,63.2842,118.3319,2.55,100,87,2.17,overcast clouds
328,Sorong,ID,-0.8833,131.25,79.45,83,90,4.9,overcast clouds
329,Pali,IN,25.7667,73.3333,92.23,8,0,6.6,clear sky
330,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,77,20,19.1,few clouds
331,Bathsheba,BB,13.2167,-59.5167,83.01,61,40,18.41,scattered clouds
332,Faanui,PF,-16.4833,-151.75,80.56,78,8,7.54,light rain
333,Surgut,RU,61.25,73.4167,28.58,54,0,13.42,clear sky
334,Urusha,RU,54.05,122.9,24.01,71,38,6.13,scattered clouds
335,Aksarka,RU,66.5606,67.7975,9.9,95,52,5.06,broken clouds
336,Antalaha,MG,-14.9003,50.2788,83.21,71,20,14.47,light rain
337,Kyaikto,MM,17.3,97.0167,83.41,53,99,10.65,overcast clouds
338,Teya,RU,60.3778,92.6267,8.91,96,83,2.55,broken clouds
339,Nabire,ID,-3.3667,135.4833,76.84,86,100,3.87,overcast clouds
340,Mikkeli,FI,61.6886,27.2723,35.71,41,0,9.22,clear sky
341,Turukhansk,RU,65.8167,87.9833,4.44,92,23,2.59,few clouds
